experiment,feature,beta_scaled,beta_real,intercept,R2,RMSE
baseline,search_ad_spend_est,134597679.79027936,1321.5585098841086,,,
baseline,live_ad_spend_est,132223099.62960465,267.87008808761414,,,
baseline,competitor_event_flag,30954434.400313184,220017488.35871398,,,
baseline,intercept,508730060.18467325,257554070.6702644,257554070.6702644,0.44556674599206725,278502690.80206573
lag_added,search_ad_spend_est,90076499.16848263,884.4235963217118,,,
lag_added,live_ad_spend_est,132162627.4974521,267.7475779104066,,,
lag_added,competitor_event_flag,31024967.66174119,220518823.6706259,,,
lag_added,search_ad_spend_lag3,82586319.44941112,809.5731249615964,,,
lag_added,live_ad_spend_lag3,16896380.6427676,34.23028944124556,,,
lag_added,competitor_event_flag_lag3,19606057.88585561,139355659.25306863,,,
lag_added,intercept,509086478.44771093,188495814.34869194,188495814.34869194,0.4908519233382488,266886627.62592587
rolling_added,search_ad_spend_est,74284103.57510062,729.3646471599628,,,
rolling_added,live_ad_spend_est,117064331.61584234,237.1600190110225,,,
rolling_added,competitor_event_flag,28878850.304096457,205264681.25453135,,,
rolling_added,search_ad_spend_7d_sum,89723268.47499177,137.31623707569796,,,
rolling_added,live_ad_spend_7d_sum,60217563.77811436,43.24974365496624,,,
rolling_added,intercept,508217010.5353599,175164868.5366748,175164868.5366748,0.5378781975729419,254262896.16868925
lag_rolling_added,search_ad_spend_est,61078837.63755511,599.7076456259261,,,
lag_rolling_added,live_ad_spend_est,117783377.72015925,238.6167307644301,,,
lag_rolling_added,competitor_event_flag,29139556.356508844,207117724.02410325,,,
lag_rolling_added,search_ad_spend_lag3,52501984.91568478,514.6638847480519,,,
lag_rolling_added,live_ad_spend_lag3,-241924.77270423842,-0.4901141355511735,,,
lag_rolling_added,competitor_event_flag_lag3,15930185.841264931,113228348.24102604,,,
lag_rolling_added,search_ad_spend_7d_sum,65452066.55990035,100.17057605674194,,,
lag_rolling_added,live_ad_spend_7d_sum,57415338.404157735,41.237116084484654,,,
lag_rolling_added,intercept,508420453.0442003,152367974.74629784,152367974.74629784,0.5441030118738122,252544620.3704952
